time,temperature,humidity
2021-10-13T00:17:20Z,19.3,53.9
2021-10-13T00:17:21Z,19.2,53.8
2021-10-13T00:17:22Z,19.2,53.8
2021-10-13T00:17:23Z,19.3,53.9
2021-10-13T00:17:24Z,19.3,53.9
2021-10-13T00:17:25Z,19.3,53.9
2021-10-13T00:17:26Z,19.3,53.9
2021-10-13T00:17:27Z,19.3,53.9
2021-10-13T00:17:28Z,19.3,53.9
2021-10-13T00:17:29Z,19.2,53.8
2021-10-13T00:17:30Z,19.2,53.8
2021-10-13T00:17:31Z,19.2,53.8
2021-10-13T00:17:32Z,19.2,53.8
2021-10-13T00:17:33Z,19.2,53.8
2021-10-13T00:17:34Z,19.2,53.8
2021-10-13T00:17:35Z,19.2,53.8
2021-10-13T00:17:36Z,19.2,53.8
2021-10-13T00:17:37Z,19.2,53.8
2021-10-13T00:17:38Z,19.2,53.8
2021-10-13T00:17:39Z,19.2,53.8
2021-10-13T00:17:40Z,19.2,53.8
2021-10-13T00:17:41Z,19.2,53.8
2021-10-13T00:17:42Z,19.2,53.8
2021-10-13T00:17:43Z,19.2,53.8
2021-10-13T00:17:44Z,19.2,53.8
2021-10-13T00:17:45Z,19.2,53.8
2021-10-13T00:17:46Z,19.2,53.8
2021-10-13T00:17:47Z,19.2,53.8
2021-10-13T00:17:48Z,19.2,53.8
2021-10-13T00:17:49Z,19.2,53.8
2021-10-13T00:17:50Z,19.2,53.8
2021-10-13T00:17:51Z,19.3,53.9
2021-10-13T00:17:52Z,19.3,53.9
2021-10-13T00:17:53Z,19.2,53.8
2021-10-13T00:17:54Z,19.2,53.8
2021-10-13T00:17:55Z,19.2,53.8
2021-10-13T00:17:56Z,19.2,53.8
2021-10-13T00:17:57Z,19.2,53.8
2021-10-13T00:17:58Z,19.2,53.8
2021-10-13T00:17:59Z,19.2,53.8
2021-10-13T00:18:00Z,19.1,53.8
2021-10-13T00:18:01Z,19.3,53.9
2021-10-13T00:18:02Z,19.3,53.9
2021-10-13T00:18:03Z,19.3,53.9
2021-10-13T00:18:04Z,19.3,53.9
